Source,Min Stolen,Max-Min,Entity,Median Stolen,MethodOfLeak,Max Stolen,Número de registros,RecordsStolen,Year
http://it.slashdot.org/story/12/07/12/1243217/nearly-half-a-million-yahoo-passwords-leaked-updated?utm_source=feedburnerGoogle+Reader&utm_medium=feed&utm_campaign=Feed%3A+Slashdot%2Fslashdot+%28Slashdot%29&utm_content=Google+Reader,30000,199970000,Yahoo Voices,6500000,hacked,200000000,1,500000,2012
http://money.cnn.com/2016/05/19/technology/linkedin-hack/,30000,199970000,LinkedIn,6500000,hacked,200000000,1,117000000,2012
http://www.forbes.com/sites/andygreenberg/2012/07/23/eight-million-passwords-spilled-from-gaming-site-gamigo-months-after-breach/,30000,199970000,Gamigo,6500000,hacked,200000000,1,8000000,2012
http://www.telegraph.co.uk/technology/2016/08/31/dropbox-hackers-stole-70-million-passwords-and-email-addresses/,30000,199970000,Dropbox,6500000,hacked,200000000,1,68700000,2012
http://www.zdnet.com/article/hackers-stole-43-million-last-fm-account-details-in-2012-breach/,30000,199970000,Last.fm,6500000,hacked,200000000,1,43500000,2012
http://www.guardian.co.uk/technology/2013/jul/22/apple-developer-site-hacked,16000,64984000,Apple,750000,hacked,65000000,1,300000,2013
http://www.reuters.com/article/2013/05/17/us-yahoojapan-idUSBRE94G0P620130517,16000,64984000,Yahoo Japan,750000,hacked,65000000,1,22000000,2013
https://motherboard.vice.com/read/hackers-stole-68-million-passwords-from-tumblr-new-analysis-reveals,16000,64984000,Tumblr,750000,hacked,65000000,1,65000000,2013
http://arstechnica.com/security/2013/05/drupal-org-resets-login-credentials-after-hack-exposes-password-data/,16000,64984000,Drupal,750000,hacked,65000000,1,1000000,2013
http://www.wired.co.uk/news/archive/2013-02/02/twitter-hacked,16000,64984000,Twitter,750000,hacked,65000000,1,250000,2013
http://www.wired.co.uk/news/archive/2013-03/04/evernote-hacked,16000,64984000,Evernote,750000,hacked,65000000,1,50000000,2013
http://nakedsecurity.sophos.com/2013/04/05/scribd-worlds-largest-online-library-admits-to-network-intrusion-password-breach/,16000,64984000,Scribd,750000,hacked,65000000,1,500000,2013
http://blog.aol.com/2014/04/28/aol-security-update/,52000,144948000,AOL,4000000,hacked,145000000,1,2400000,2014
http://www.theguardian.com/technology/2014/jun/16/dominos-pizza-ransom-hack-data,52000,144948000,Dominios Pizzas (France),4000000,hacked,145000000,1,600000,2014
http://www.wired.co.uk/news/archive/2013-11/13/mac-rumours-forums-hacked,52000,144948000,MacRumours.com,4000000,hacked,145000000,1,900000,2014
http://carefirstanswers.com/,40000,69960000,Carefirst,2700000,hacked,70000000,1,1100000,2015
http://www.channel4.com/news/adult-friendfinder-dating-hack-internet-dark-web,40000,69960000,Adult Friend Finder,2700000,hacked,70000000,1,3900000,2015
https://thestack.com/security/2015/12/15/mackeeper-discloses-13-million-mac-users-details-with-poor-hash-protection/,40000,69960000,Kromtech,2700000,hacked,70000000,1,13000000,2015
http://news.softpedia.com/news/syrian-government-hacked-43-gb-of-data-spilled-online-by-hacktivists-502765.shtml,10,190999990,Syrian government,5095198,hacked,191000000,1,274477,2016
http://venturebeat.com/2016/08/02/hackers-break-into-telegram-revealing-15-million-users-phone-numbers/,10,190999990,Telegram,5095198,hacked,191000000,1,15000000,2016
http://betanews.com/2016/07/15/ubuntu-linux-forums-hacked/,10,190999990,Linux Ubuntu forums,5095198,hacked,191000000,1,2000000,2016
http://motherboard.vice.com/read/427-million-myspace-passwords-emails-data-breach,10,190999990,MySpace,5095198,hacked,191000000,1,164000000,2016
https://torrentfreak.com/utorrent-forums-hacked-passwords-compromised-160608/,10,190999990,uTorrent,5095198,hacked,191000000,1,35000,2016
https://thestack.com/security/2016/04/08/childbirth-charity-hack-leaks-15000-expectant-parents-data/,10,190999990,National Childbirth Trust,5095198,hacked,191000000,1,15000,2016
http://motherboard.vice.com/read/another-day-another-hack-7-million-emails-and-hashed-passwords-for-minecraft,10,190999990,Minecraft,5095198,hacked,191000000,1,7000000,2016
http://arstechnica.com/security/2016/03/after-verizon-breach-1-5-million-customer-records-put-up-for-sale/,10,190999990,Verizon,5095198,hacked,191000000,1,100000,2016
http://usatoday30.usatoday.com/tech/news/computersecurity/2007-12-30-data_n.htm,90000,93910000,Dai Nippon Printing,3000000,inside job,94000000,1,8600000,2007
http://money.cnn.com/2004/06/23/technology/aol_spam/,92000000,0,AOL,92000000,"inside job, hacked",92000000,1,92000000,2004
http://www.datalossdb.org,200000,26300000,"T-Mobile, Deutsche Telecom",10500000,lost / stolen media,26500000,1,17000000,2006
http://news.bbc.co.uk/2/hi/uk_news/7103911.stm,90000,93910000,UK Revenue & Customs,3000000,lost / stolen media,94000000,1,25000000,2007
http://www.wctv.tv/news/headlines/28132494.html?storySection=comments,50000,17950000,BNY Mellon Shareowner Services,1900000,lost / stolen media,18000000,1,12500000,2008
http://money.cnn.com/2015/05/26/pf/taxes/irs-website-data-hack/index.html,40000,69960000,IRS,2700000,poor security,70000000,1,100000,2015
http://blog.uber.com/2-27-15,40000,69960000,Uber,2700000,poor security,70000000,1,50000,2015
http://techcrunch.com/2015/03/27/slack-got-hacked/,40000,69960000,Slack,2700000,poor security,70000000,1,500000,2015
http://blog.code.org/post/140938173013/some-volunteer-email-addresses-compromised,10,190999990,Code.org,5095198,poor security,191000000,1,10,2016
http://motherboard.vice.com/read/another-day-another-hack-100-million-accounts-for-vk-russias-facebook,10,190999990,VK,5095198,hacked,191000000,1,100544934,2016
http://www.dailydot.com/politics/invest-bank-hacker-buba/,40000,69960000,Invest Bank,2700000,hacked,70000000,1,40000,2015
http://premeraupdate.com/,40000,69960000,Premera,2700000,hacked,70000000,1,11000000,2015
https://theintercept.com/2015/11/11/securus-hack-prison-phone-company-exposes-thousands-of-calls-lawyers-and-clients/,40000,69960000,Securus Technologies,2700000,hacked,70000000,1,70000000,2015
http://www.theguardian.com/technology/2015/dec/02/vtech-hack-us-hong-kong-investigate-children-exposed,40000,69960000,VTech,2700000,hacked,70000000,1,6400000,2015
http://blog.trendmicro.com/trendlabs-security-intelligence/55m-registered-voters-risk-philippine-commission-elections-hacked/,10,190999990,Philippinesâ€™ Commission on Elections,5095198,hacked,191000000,1,55000000,2016
http://www.bbc.co.uk/news/world-europe-36645519,10,190999990,Mutuelle Generale de la Police,5095198,leak,191000000,1,112000,2016
http://www.infoworld.com/article/2615754/cyber-crime/south-carolina-reveals-massive-data-breach-of-social-security-numbers--credit-cards.html,30000,199970000,South Carolina State Dept. of Revenue,6500000,hacked,200000000,1,3600000,2012
https://www.bannerhealth.com/news/2016/08/banner-health-identifies-cyber-attack#,10,190999990,Banner Health,5095198,hacked,191000000,1,3700000,2016
http://abcnews.go.com/Technology/wireStory/wendys-1000-restaurants-affected-hack-40407208,10,190999990,Wendy's,5095198,hacked,191000000,1,1025,2016
https://thestack.com/security/2016/06/29/2-million-person-terror-database-leaked-online/,10,190999990,World Check,5095198,leak,191000000,1,2200000,2016
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,40000,3260000,Yale University,400000,accidentally published,3300000,1,40000,2010
http://www.informationweek.com/security/attacks/texas-data-breach-exposed-35-million-rec/229401489?queryText=Texas%20data%20leak,35000,76965000,State of Texas,1000000,accidentally published,77000000,1,3500000,2011
http://www.rawstory.com/rs/2012/04/26/texas-attorney-general-exposes-millions-of-voters-social-security-numbers/,30000,199970000,Office of the Texas Attorney General,6500000,accidentally published,200000000,1,6500000,2012
http://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+WQ+E-2013-001939+0+DOC+XML+V0//EN&language=nl,16000,64984000,NMBS,750000,accidentally published,65000000,1,1500000,2013
http://www.theregister.co.uk/2008/12/29/rbs_worldpay_breach/,50000,17950000,RBS Worldpay,1900000,hacked,18000000,1,1500000,2008
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,40000,3260000,Ohio State University,400000,hacked,3300000,1,800000,2010
http://www.guardian.co.uk/technology/2010/dec/13/gawker-hackers-passwords-twitter-wikileaks?INTCMP=SRCH,40000,3260000,Gawker.com,400000,hacked,3300000,1,1500000,2010
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,35000,76965000,University of Wisconsin - Milwaukee,1000000,hacked,77000000,1,73000,2011
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,35000,76965000,Southern California Medical-Legal Consultants,1000000,hacked,77000000,1,300000,2011
"http://www.pcmag.com/article2/0,2817,2388200,00.asp",35000,76965000,Washington Post,1000000,hacked,77000000,1,1300000,2011
http://www.reuters.com/article/2011/11/26/us-korea-hacking-nexon-idUSTRE7AP09H20111126,35000,76965000,Nexon Korea Corp,1000000,hacked,77000000,1,13200000,2011
https://us.battle.net/support/en/article/important-security-update-faq#5,30000,199970000,Blizzard,6500000,hacked,200000000,1,14000000,2012
http://www.wired.co.uk/news/archive/2012-11/22/greece-id-theft,30000,199970000,Greek government,6500000,hacked,200000000,1,9000000,2012
http://www.koreatimes.co.kr/www/news/biz/2012/07/113_116143.html,30000,199970000,KT Corp.,6500000,hacked,200000000,1,8700000,2012
http://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/,30000,199970000,Zappos,6500000,hacked,200000000,1,24000000,2012
http://www.privacyrights.org/data-breach,16000,64984000,Kirkwood Community College,750000,hacked,65000000,1,130000,2013
http://www.joystiq.com/2013/07/05/club-nintendo-japan-hacked/,16000,64984000,Nintendo,750000,hacked,65000000,1,250000,2013
http://www.reuters.com/article/2013/05/09/us-usa-hack-washingtonstate-idUSBRE9480YY20130509,16000,64984000,Washington State court system,750000,hacked,65000000,1,160000,2013
http://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/,16000,64984000,SnapChat,750000,hacked,65000000,1,4700000,2013
http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,52000,144948000,Neiman Marcus,4000000,hacked,145000000,1,1100000,2014
http://online.wsj.com/articles/japan-airlines-reports-hacker-attack-1412053828,52000,144948000,Japan Airlines,4000000,hacked,145000000,1,800000,2014
http://www.washingtonpost.com/world/national-security/chinese-hackers-breach-federal-governments-personnel-office/2015/06/04/889c0e52-0af7-11e5-95fd-d580f1c5d44e_story.html?tid=hpModule_04941f10-8a79-11e2-98d9-3012c1cd8d1e,40000,69960000,US Office of Personnel Management,2700000,hacked,70000000,1,4000000,2015
http://krebsonsecurity.com/2015/05/mobile-spy-software-maker-mspy-hacked-customer-data-leaked/,40000,69960000,MSpy,2700000,hacked,70000000,1,400000,2015
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,90000,93910000,Texas Lottery,3000000,inside job,94000000,1,90000,2007
http://www.datalossdb.org,50000,17950000,GS Caltex,1900000,inside job,18000000,1,11100000,2008
http://www.forbes.com/sites/andygreenberg/2010/10/22/wikileaks-reveals-the-biggest-classified-data-breach-in-history/,40000,3260000,Classified Iraq War documents,400000,inside job,3300000,1,400000,2010
http://latimesblogs.latimes.com/money_co/2011/09/man-convicted-in-huge-countrywide-data-theft-gets-8-months-in-prison.html,35000,76965000,Countrywide Financial Corp,1000000,inside job,77000000,1,2500000,2011
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,30000,199970000,New York State Electric & Gas,6500000,inside job,200000000,1,1800000,2012
http://bits.blogs.nytimes.com/2013/10/24/senator-intensifies-probe-of-data-brokers/?_php=true&_type=blogs&_r=0,30000,199970000,Court Ventures,6500000,inside job,200000000,1,200000000,2012
http://gcn.com/Articles/2009/02/02/VA-data-breach-suit-settlement.aspx,200000,26300000,US Dept of Vet Affairs,10500000,lost / stolen computer,26500000,1,26500000,2006
http://www.pcworld.com/article/137865/article.html,90000,93910000,Gap Inc,3000000,lost / stolen computer,94000000,1,800000,2007
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,50000,17950000,Stanford University,1900000,lost / stolen computer,18000000,1,72000,2008
http://www.governmentsecurity.org/latest-security-news/laptop-theft-exposes-private-info-of-avmed-health-plansaapos-customers.html,72000,129928000,"AvMed, Inc.",1100000,lost / stolen computer,130000000,1,1200000,2009
http://www.databreaches.net/?p=12611,40000,3260000,Colorado government,400000,lost / stolen computer,3300000,1,100000,2010
http://www.simplysecurity.com/2011/11/30/sutter-health-sued-for-1-billion-following-data-breach/,35000,76965000,Sutter Medical Foundation,1000000,lost / stolen computer,77000000,1,4200000,2011
http://www.privacyrights.org/data-breach,16000,64984000,Florida Department of Juvenile Justice,750000,lost / stolen computer,65000000,1,100000,2013
http://www.privacyrights.org/data-breach,16000,64984000,Florida Courts,750000,lost / stolen computer,65000000,1,100000,2013
http://www.nbcnews.com/id/7561268/,130000,39870000,Ameritrade Inc.,2050000,lost / stolen media,40000000,1,200000,2005
http://news.bbc.co.uk/1/hi/uk_politics/7147715.stm,90000,93910000,Driving Standards Agency,3000000,lost / stolen media,94000000,1,3000000,2007
http://www.computerweekly.com/news/2240104003/Hackney-NHS-trust-encrypts-IT-equipment-following-loss-of-child-data,90000,93910000,City and Hackney Teaching Primary Care Trust,3000000,lost / stolen media,94000000,1,160000,2007
http://news.bbc.co.uk/1/hi/uk_politics/7147715.stm,90000,93910000,Driving Standards Agency,3000000,lost / stolen media,94000000,1,3000000,2007
http://en.wikipedia.org/wiki/List_of_UK_government_data_losses,50000,17950000,UK Home Office,1900000,lost / stolen media,18000000,1,84000,2008
http://news.bbc.co.uk/1/hi/england/gloucestershire/7639006.stm,50000,17950000,Service Personnel and Veterans Agency (UK),1900000,lost / stolen media,18000000,1,50000,2008
http://www.mhs.net/pdf/release071112.pdf,35000,76965000,Memorial Healthcare System,1000000,lost / stolen media,77000000,1,100000,2011
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,30000,199970000,California Department of Child Support Services,6500000,lost / stolen media,200000000,1,800000,2012
http://abcnews.go.com/Technology/story?id=2160425&page=1#.UFcROxgUwaA,130000,39870000,Automatic Data Processing,2050000,poor security,40000000,1,130000,2005
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,35000,76965000,Oregon Department of Motor Vehicles,1000000,poor security,77000000,1,1000000,2011
http://news.iu.edu/releases/iu/2014/02/data-exposure-disclosure.shtml,16000,64984000,Indiana University,750000,poor security,65000000,1,150000,2013
http://www.theguardian.com/technology/2014/aug/05/mozilla-leak-developer-email-addresses-passwords-firefox,52000,144948000,Mozilla,4000000,poor security,145000000,1,80000,2014
http://www.buzzfeed.com/tomgara/sony-hack,52000,144948000,Sony Pictures,4000000,hacked,145000000,1,10000000,2014
http://www.informationweek.co.uk/security/client/dropbox-admits-hack-adds-more-security-f/240004697,30000,199970000,Dropbox,6500000,hacked,200000000,1,30000,2012
http://www.theguardian.com/business/2015/mar/29/british-airways-frequent-flyer-accounts-hacked,40000,69960000,British Airways,2700000,hacked,70000000,1,500000,2015
http://status.ovh.net/?do=details&id=5070,16000,64984000,OVH,750000,hacked,65000000,1,500000,2013
http://time.com/3151681/ups-hack/,52000,144948000,UPS,4000000,hacked,145000000,1,4000000,2014
http://www.cityam.com/1406190300/ecb-website-hacked,52000,144948000,European Central Bank,4000000,hacked,145000000,1,4000000,2014
http://blog.twitch.tv/2015/03/important-notice-about-your-twitch-account/,52000,144948000,Twitch.tv,4000000,hacked,145000000,1,10000000,2014
http://www.theguardian.com/world/2015/mar/30/personal-details-of-world-leaders-accidentally-revealed-by-g20-organisers,40000,69960000,Australian Immigration Department,2700000,accidentally published,70000000,1,500000,2015
http://forums.ubi.com/forumdisplay.php/495-Security-update-regarding-your-Ubisoft-account-please-create-a-new-password,16000,64984000,UbiSoft,750000,hacked,65000000,1,58000000,2013
http://www.usatoday.com/story/cybertruth/2013/09/26/lexisnexis-dunn--bradstreet-altegrity-hacked/2878769/,52000,144948000,"D&B, Altegrity",4000000,hacked,145000000,1,1000000,2014
http://www.bbc.co.uk/news/uk-34784980,40000,69960000,TalkTalk,2700000,hacked,70000000,1,160000,2015
http://www.nydailynews.com/news/national/russians-ukrainian-charged-largest-hacking-spree-u-s-history-article-1.1408948,30000,199970000,Massive American business hack,6500000,hacked,200000000,1,160000000,2012
http://www.zdnet.com/blog/security/3-million-bank-accounts-hacked-in-iran/11577,30000,199970000,Three Iranian banks,6500000,hacked,200000000,1,3000000,2012
http://www.guardian.co.uk/news/datablog/2010/nov/29/wikileaks-cables-data,40000,3260000,US Military,400000,inside job,3300000,1,300000,2010
http://news.bbc.co.uk/1/hi/uk_politics/7667507.stm,50000,17950000,UK Ministry of Defence,1900000,lost / stolen media,18000000,1,1700000,2008
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,35000,76965000,Massachusetts Government,1000000,poor security,77000000,1,200000,2011
http://www.msnbc.msn.com/id/8260050/ns/technology_and_science-security/t/million-credit-cards-exposed/#.UFiz7aRYtmg,130000,39870000,Cardsystems Solutions Inc.,2050000,hacked,40000000,1,40000000,2005
http://www.guardian.co.uk/technology/blog/2009/aug/24/hacking-law?INTCMP=SRCH,72000,129928000,Heartland,1100000,hacked,130000000,1,130000000,2009
http://arstechnica.com/security/2013/07/hack-exposes-e-mail-addresses-password-data-for-2-million-ubuntu-forum-users/,16000,64984000,Ubuntu,750000,hacked,65000000,1,2000000,2013
http://dealbook.nytimes.com/2014/10/02/jpmorgan-discovers-further-cyber-security-issues/?_php=true&_type=blogs&_r=0,52000,144948000,JP Morgan Chase,4000000,hacked,145000000,1,76000000,2014
http://krebsonsecurity.com/2014/09/banks-credit-card-breach-at-home-depot/,52000,144948000,Home Depot,4000000,hacked,145000000,1,56000000,2014
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,90000,93910000,Compass Bank,3000000,inside job,94000000,1,1000000,2007
http://www.securityweek.com/attacker-steals-data-2-million-vodafone-germany-customers,16000,64984000,Vodafone,750000,inside job,65000000,1,2000000,2013
http://www.nytimes.com/2005/06/07/business/07data.html?pagewanted=all&_moc.semityn.www,130000,39870000,Citigroup,2050000,lost / stolen media,40000000,1,3900000,2005
http://www.pcworld.com/article/131453/article.html,40000,3260000,JP Morgan Chase,400000,lost / stolen media,3300000,1,2600000,2010
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,35000,76965000,Morgan Stanley Smith Barney,1000000,lost / stolen media,77000000,1,35000,2011
"http://news.cnet.com/8301-1009_3-57469944-83/formspring-disables-user-passwords-in-security-breach/?tag=mncol,txt",30000,199970000,Formspring,6500000,accidentally published,200000000,1,400000,2012
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,72000,129928000,Virginia Dept. Of Health,1100000,hacked,130000000,1,8300000,2009
http://techcrunch.com/2009/12/14/rockyou-hack-security-myspace-facebook-passwords/,72000,129928000,RockYou!,1100000,hacked,130000000,1,32000000,2009
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,50000,17950000,University of Utah Hospitals & Clinics,1900000,lost / stolen media,18000000,1,2200000,2008
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,72000,129928000,Health Net,1100000,lost / stolen media,130000000,1,1500000,2009
http://security-hack1.blogspot.com/2010/04/affinity-health-plan-alerts-public.html,72000,129928000,"Affinity Health Plan, Inc.",1100000,lost / stolen media,130000000,1,300000,2009
http://www.techweekeurope.co.uk/news/nhs-researchers-lose-laptop-with-8m-patients-records-31810,35000,76965000,NHS,1000000,lost / stolen media,77000000,1,8300000,2011
http://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/,200000,26300000,AOL,10500000,accidentally published,26500000,1,20000000,2006
http://www.computerworld.com/s/article/9001150/KDDI_suffers_massive_data_breach,200000,26300000,KDDI,10500000,hacked,26500000,1,4000000,2006
http://www.computerworld.com/s/article/9125078/CheckFree_warns_5_million_customers_after_hack,72000,129928000,CheckFree Corporation,1100000,hacked,130000000,1,5000000,2009
http://www.guardian.co.uk/technology/2010/jun/10/apple-ipad-security-leak?INTCMP=SRCH,40000,3260000,AT&T,400000,hacked,3300000,1,100000,2010
http://mashable.com/2011/05/31/sony-playstation-services-return/,35000,76965000,Sony PSN,1000000,hacked,77000000,1,77000000,2011
http://mashable.com/2011/06/02/sony-pictures-hacked/,35000,76965000,Sony Pictures,1000000,hacked,77000000,1,1000000,2011
http://my.chicagotribune.com/#section/-1/article/p2p-80265168/,52000,144948000,Ebay,4000000,hacked,145000000,1,145000000,2014
http://thenextweb.com/google/2014/09/10/4-93-million-gmail-usernames-passwords-published-google-says-evidence-systems-compromised/,52000,144948000,Gmail,4000000,hacked,145000000,1,5000000,2014
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,50000,17950000,AT&T,1900000,lost / stolen computer,18000000,1,100000,2008
https://medium.com/@vijayp/f6bc289679a1,52000,144948000,New York Taxis,4000000,poor security,145000000,1,52000,2014
http://panamapapers.sueddeutsche.de/articles/56febff0a1bb8d3c3495adf4/,10,190999990,Mossack Fonseca,5095198,leak,191000000,1,11500000,2016
http://infowatch.com/node/1289,50000,17950000,Norwegian Tax Authorities,1900000,accidentally published,18000000,1,4000000,2008
http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,50000,17950000,Jefferson County,1900000,accidentally published,18000000,1,1600000,2008
